participant_code,survey_ab,sentence_type,sentence_code,rating
45,Eng_A,def_article,1a,5
45,Eng_A,no_def_article,2b,5
45,Eng_A,def_article,3a,5
45,Eng_A,no_def_article,4b,5
45,Eng_A,def_article,5a,5
45,Eng_A,no_def_article,6b,5
45,Eng_A,indef_article,7a,5
45,Eng_A,no_indef_article,8b,4
45,Eng_A,indef_article,9a,1
45,Eng_A,no_indef_article,10b,4
45,Eng_A,indef_article,11a,5
45,Eng_A,no_indef_article,12b,5
45,Eng_A,poss,13a,4
45,Eng_A,own,14b,5
45,Eng_A,poss,15a,5
45,Eng_A,own,16b,5
45,Eng_A,poss,17a,5
45,Eng_A,own,18b,5
45,Eng_A,main_pre,19a,5
45,Eng_A,main_post,20b,3
45,Eng_A,main_pre,21a,5
45,Eng_A,main_post,22b,3
45,Eng_A,main_pre,23a,5
45,Eng_A,main_post,24b,2
41,Eng_A,def_article,1a,5
41,Eng_A,no_def_article,2b,4
41,Eng_A,def_article,3a,5
41,Eng_A,no_def_article,4b,4
41,Eng_A,def_article,5a,5
41,Eng_A,no_def_article,6b,4
41,Eng_A,indef_article,7a,5
41,Eng_A,no_indef_article,8b,4
41,Eng_A,indef_article,9a,3
41,Eng_A,no_indef_article,10b,5
41,Eng_A,indef_article,11a,5
41,Eng_A,no_indef_article,12b,2
41,Eng_A,poss,13a,5
41,Eng_A,own,14b,5
41,Eng_A,poss,15a,5
41,Eng_A,own,16b,4
41,Eng_A,poss,17a,4
41,Eng_A,own,18b,5
41,Eng_A,main_pre,19a,2
41,Eng_A,main_post,20b,5
41,Eng_A,main_pre,21a,5
41,Eng_A,main_post,22b,3
41,Eng_A,main_pre,23a,2
41,Eng_A,main_post,24b,1
47,Eng_A,def_article,1a,5
47,Eng_A,no_def_article,2b,5
47,Eng_A,def_article,3a,5
47,Eng_A,no_def_article,4b,5
47,Eng_A,def_article,5a,4
47,Eng_A,no_def_article,6b,5
47,Eng_A,indef_article,7a,5
47,Eng_A,no_indef_article,8b,2
47,Eng_A,indef_article,9a,5
47,Eng_A,no_indef_article,10b,5
47,Eng_A,indef_article,11a,2
47,Eng_A,no_indef_article,12b,1
47,Eng_A,poss,13a,5
47,Eng_A,own,14b,1
47,Eng_A,poss,15a,5
47,Eng_A,own,16b,5
47,Eng_A,poss,17a,3
47,Eng_A,own,18b,5
47,Eng_A,main_pre,19a,3
47,Eng_A,main_post,20b,1
47,Eng_A,main_pre,21a,5
47,Eng_A,main_post,22b,2
47,Eng_A,main_pre,23a,2
47,Eng_A,main_post,24b,4
43,Eng_A,def_article,1a,5
43,Eng_A,no_def_article,2b,5
43,Eng_A,def_article,3a,5
43,Eng_A,no_def_article,4b,5
43,Eng_A,def_article,5a,5
43,Eng_A,no_def_article,6b,2
43,Eng_A,indef_article,7a,5
43,Eng_A,no_indef_article,8b,5
43,Eng_A,indef_article,9a,5
43,Eng_A,no_indef_article,10b,4
43,Eng_A,indef_article,11a,4
43,Eng_A,no_indef_article,12b,4
43,Eng_A,poss,13a,5
43,Eng_A,own,14b,1
43,Eng_A,poss,15a,4
43,Eng_A,own,16b,1
43,Eng_A,poss,17a,5
43,Eng_A,own,18b,1
43,Eng_A,main_pre,19a,5
43,Eng_A,main_post,20b,1
43,Eng_A,main_pre,21a,5
43,Eng_A,main_post,22b,1
43,Eng_A,main_pre,23a,4
43,Eng_A,main_post,24b,1
44,Eng_A,def_article,1a,5
44,Eng_A,no_def_article,2b,5
44,Eng_A,def_article,3a,5
44,Eng_A,no_def_article,4b,5
44,Eng_A,def_article,5a,4
44,Eng_A,no_def_article,6b,5
44,Eng_A,indef_article,7a,5
44,Eng_A,no_indef_article,8b,4
44,Eng_A,indef_article,9a,2
44,Eng_A,no_indef_article,10b,4
44,Eng_A,indef_article,11a,5
44,Eng_A,no_indef_article,12b,4
44,Eng_A,poss,13a,5
44,Eng_A,own,14b,1
44,Eng_A,poss,15a,5
44,Eng_A,own,16b,1
44,Eng_A,poss,17a,4
44,Eng_A,own,18b,1
44,Eng_A,main_pre,19a,3
44,Eng_A,main_post,20b,3
44,Eng_A,main_pre,21a,5
44,Eng_A,main_post,22b,3
44,Eng_A,main_pre,23a,2
44,Eng_A,main_post,24b,1
59,Eng_A,def_article,1a,5
59,Eng_A,no_def_article,2b,2
59,Eng_A,def_article,3a,5
59,Eng_A,no_def_article,4b,2
59,Eng_A,def_article,5a,3
59,Eng_A,no_def_article,6b,2
59,Eng_A,indef_article,7a,5
59,Eng_A,no_indef_article,8b,3
59,Eng_A,indef_article,9a,3
